mavpackettype,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,Type,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
IMU,50654626,0,0.0007239187834784389,0.000728022656403482,0.000745333731174469,9.21786117553711,-0.06557302922010422,-3.355518341064453,0.0,0.0,28.10650062561035,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50654626,1,0.0005901040276512504,0.0008352038566954434,0.0007827116060070693,9.215689659118652,-0.06574549525976181,-3.3585798740386963,0.0,0.0,28.10650062561035,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50674626,0,0.000728087208699435,0.000717439572326839,0.0007684395532123744,9.216883659362793,-0.06451737880706787,-3.3564934730529785,0.0,0.0,28.10762596130371,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50674626,1,0.0005817704368382692,0.0007896074675954878,0.0009300411911681294,9.217561721801758,-0.06207664683461189,-3.354381799697876,0.0,0.0,28.10762596130371,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50694626,0,0.0007402232149615884,0.0007446508971042931,0.0007371301762759686,9.217256546020508,-0.06518033146858215,-3.3569157123565674,0.0,0.0,28.108753204345703,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50694626,1,0.0007773704128339887,0.0007125180563889444,0.0007136624190025032,9.216717720031738,-0.0651927962899208,-3.3565471172332764,0.0,0.0,28.108753204345703,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50714626,0,0.000754664943087846,0.0007857948658056557,0.0007146159186959267,9.216874122619629,-0.06535611301660538,-3.3573074340820312,0.0,0.0,28.109878540039062,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50714626,1,0.0009133416460826993,0.0007526492117904127,0.0008051363984122872,9.216300964355469,-0.06416983902454376,-3.3560965061187744,0.0,0.0,28.109878540039062,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50734626,0,0.0007353909313678741,0.0007640355033800006,0.000706752180121839,9.216728210449219,-0.06521844863891602,-3.356287956237793,0.0,0.0,28.111003875732422,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50734626,1,0.0007095999899320304,0.0007168428273871541,0.0007720349240116775,9.215786933898926,-0.06527778506278992,-3.358577251434326,0.0,0.0,28.111003875732422,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50754626,0,0.0007937290938571095,0.0007129483856260777,0.0007254885276779532,9.216693878173828,-0.0647260993719101,-3.356046438217163,0.0,0.0,28.11212921142578,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50754626,1,0.0006626773974858224,0.0007622878183610737,0.0008020034874789417,9.216608047485352,-0.06578441709280014,-3.355839729309082,0.0,0.0,28.11212921142578,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50774626,0,0.0007192968623712659,0.000770572223700583,0.000761066097766161,9.217207908630371,-0.06521918624639511,-3.355207681655884,0.0,0.0,28.11325454711914,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50774626,1,0.0006633671000599861,0.0007097218767739832,0.0008375642937608063,9.218605041503906,-0.06450155377388,-3.358091354370117,0.0,0.0,28.11325454711914,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50794626,0,0.000745621626265347,0.00079521001316607,0.0008144750026986003,9.21755599975586,-0.06528064608573914,-3.355344772338867,0.0,0.0,28.114381790161133,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50794626,1,0.0005122459842823446,0.0009269758011214435,0.0006659111240878701,9.217758178710938,-0.06468237191438675,-3.3569092750549316,0.0,0.0,28.114381790161133,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50814626,0,0.0007567790453322232,0.0007598015363328159,0.0007548654684796929,9.217427253723145,-0.06470869481563568,-3.3559470176696777,0.0,0.0,28.115507125854492,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50814626,1,0.0005914027569815516,0.0007021863129921257,0.0008321531349793077,9.219095230102539,-0.06533261388540268,-3.3568456172943115,0.0,0.0,28.115507125854492,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
GPS,50814626,0,,,,,,,,,,,,,,GPS,6.0,220511600.0,2412.0,10.0,1.21,-35.3632649,149.1652374,584.85,0.0,359.911865234375,0.0,0.0,1.0
IMU,50834626,0,0.0006891147349961102,0.000766664044931531,0.0007403554045595229,9.216730117797852,-0.06485696882009506,-3.3557145595550537,0.0,0.0,28.11663246154785,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50834626,1,0.0007892025751061738,0.0006578167085535824,0.0008432039758190513,9.217355728149414,-0.06358520686626434,-3.3558120727539062,0.0,0.0,28.11663246154785,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50854626,0,0.0007024012738838792,0.0007420319016091526,0.0007275491952896118,9.216506004333496,-0.06369803100824356,-3.3561789989471436,0.0,0.0,28.117759704589844,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50854626,1,0.0008428645669482648,0.0008643032051622868,0.000660187448374927,9.21786117553711,-0.06467673182487488,-3.3572919368743896,0.0,0.0,28.117759704589844,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50874626,0,0.0007633708883076906,0.000760561553761363,0.0007440439658239484,9.216675758361816,-0.06561136245727539,-3.355642318725586,0.0,0.0,28.118885040283203,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50874626,1,0.0007699236157350242,0.0006791165797039866,0.0008196564158424735,9.21623420715332,-0.06603948771953583,-3.355365753173828,0.0,0.0,28.118885040283203,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50894626,0,0.0007325292681343853,0.0007962716626934707,0.0007419706089422107,9.216497421264648,-0.06506048887968063,-3.356266498565674,0.0,0.0,28.12000846862793,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50894626,1,0.0005779650527983904,0.0006276756175793707,0.0007242755964398384,9.214261054992676,-0.06612439453601837,-3.3583269119262695,0.0,0.0,28.12000846862793,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50914626,0,0.0007709129713475704,0.0007950183353386819,0.000697386683896184,9.217157363891602,-0.06517811119556427,-3.355510950088501,0.0,0.0,28.12113380432129,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50914626,1,0.000583977613132447,0.0009243660606443882,0.0009011193178594112,9.217092514038086,-0.0660252645611763,-3.355342388153076,0.0,0.0,28.12113380432129,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50934626,0,0.0007913026493042707,0.0007347926730290055,0.0007321416051127017,9.216165542602539,-0.06529983133077621,-3.356123685836792,0.0,0.0,28.12225914001465,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50934626,1,0.0007244609296321869,0.0007023246726021171,0.0008986854227259755,9.215930938720703,-0.06717975437641144,-3.354235887527466,0.0,0.0,28.12225914001465,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50954626,0,0.0007566179847344756,0.000714785885065794,0.00066939159296453,9.216796875,-0.06515169143676758,-3.356144905090332,0.0,0.0,28.123384475708008,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50954626,1,0.000668670458253473,0.0006711625028401613,0.0008209799416363239,9.217728614807129,-0.06367450952529907,-3.3543951511383057,0.0,0.0,28.123384475708008,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50974626,0,0.0007663175347261131,0.000746175937820226,0.0007225343724712729,9.216931343078613,-0.0657154768705368,-3.3558483123779297,0.0,0.0,28.124509811401367,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50974626,1,0.0007600313983857632,0.0007932799635455012,0.0007114576292224228,9.218057632446289,-0.06354828923940659,-3.3557491302490234,0.0,0.0,28.124509811401367,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,50994626,0,0.0006935629644431174,0.0007391287945210934,0.0007683872245252132,9.217570304870605,-0.06627276539802551,-3.355900764465332,0.0,0.0,28.125635147094727,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,50994626,1,0.0006548999226652086,0.0006992964772507548,0.0007732132216915488,9.220646858215332,-0.06347620487213135,-3.3562889099121094,0.0,0.0,28.125635147094727,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51014626,0,0.0007335769478231668,0.0006978897145017982,0.0007567856227979064,9.217382431030273,-0.06533394753932953,-3.3566408157348633,0.0,0.0,28.126758575439453,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51014626,1,0.0007870448753237724,0.0006880557630211115,0.0008179752039723098,9.21572494506836,-0.06459731608629227,-3.356480121612549,0.0,0.0,28.126758575439453,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
GPS,51014626,0,,,,,,,,,,,,,,GPS,6.0,220511800.0,2412.0,10.0,1.21,-35.3632649,149.1652374,584.85,0.0,359.911865234375,0.0,0.0,1.0
IMU,51034626,0,0.000759476562961936,0.000761358707677573,0.0006694075418636203,9.216208457946777,-0.0655989795923233,-3.3565709590911865,0.0,0.0,28.127883911132812,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51034626,1,0.0009073716355487704,0.0007225693552754819,0.0006967884837649763,9.218460083007812,-0.06658326834440231,-3.356760025024414,0.0,0.0,28.127883911132812,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51054626,0,0.0007467587711289525,0.0007500818464905024,0.0007751516532152891,9.216991424560547,-0.06535663455724716,-3.35530424118042,0.0,0.0,28.129009246826172,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51054626,1,0.0008059380343183875,0.000848152965772897,0.0007533253519795835,9.216129302978516,-0.06419271975755692,-3.354004383087158,0.0,0.0,28.129009246826172,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51074626,0,0.0006968702655285597,0.0007387781515717506,0.0007739835418760777,9.215912818908691,-0.06498133391141891,-3.3558812141418457,0.0,0.0,28.13013458251953,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51074626,1,0.0008276258013211191,0.0008311703568324447,0.000680138822644949,9.21505069732666,-0.0649818703532219,-3.354147434234619,0.0,0.0,28.13013458251953,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51094626,0,0.0006497567519545555,0.0007065907120704651,0.0006777679082006216,9.217734336853027,-0.0644969493150711,-3.3555660247802734,0.0,0.0,28.131258010864258,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51094626,1,0.0005238443263806403,0.0006666095578111708,0.0008223425247706473,9.216658592224121,-0.06561833620071411,-3.353306531906128,0.0,0.0,28.131258010864258,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51114626,0,0.0007548531866632402,0.0007563507533632219,0.0007591436733491719,9.216148376464844,-0.06390640139579773,-3.3560709953308105,0.0,0.0,28.132383346557617,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51114626,1,0.0007886930834501982,0.0008638666477054358,0.0008360000210814178,9.215374946594238,-0.06489424407482147,-3.35626482963562,0.0,0.0,28.132383346557617,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51134626,0,0.0007362061878666282,0.0007159895030781627,0.0008091116906143725,9.216608047485352,-0.06461359560489655,-3.3557794094085693,0.0,0.0,28.133508682250977,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51134626,1,0.0007065711542963982,0.0007529524154961109,0.0006846041069366038,9.217302322387695,-0.06437081098556519,-3.3552589416503906,0.0,0.0,28.133508682250977,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51154626,0,0.0007005489314906299,0.0007239761180244386,0.0007845530635677278,9.216873168945312,-0.06417220830917358,-3.356111526489258,0.0,0.0,28.134632110595703,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51154626,1,0.0007819919846951962,0.0006711886380799115,0.0007922495133243501,9.215239524841309,-0.06474924087524414,-3.3556067943573,0.0,0.0,28.134632110595703,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51174626,0,0.0007126086857169867,0.0007357729482464492,0.000771241495385766,9.217245101928711,-0.06590612232685089,-3.355530261993408,0.0,0.0,28.13575553894043,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51174626,1,0.0008400517399422824,0.00042186080827377737,0.0006017901469022036,9.217194557189941,-0.06723844259977341,-3.355346918106079,0.0,0.0,28.13575553894043,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51194626,0,0.000731653708498925,0.0007679529371671379,0.0007349735824391246,9.21662425994873,-0.06449652463197708,-3.3556833267211914,0.0,0.0,28.13688087463379,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51194626,1,0.0005434479680843651,0.0006793226348236203,0.0009622019715607166,9.216939926147461,-0.06757484376430511,-3.3536314964294434,0.0,0.0,28.13688087463379,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51214626,0,0.000772065541241318,0.0007140554953366518,0.000675099203363061,9.218116760253906,-0.06441203504800797,-3.355701446533203,0.0,0.0,28.13800621032715,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51214626,1,0.0008409299771301448,0.0008132230723276734,0.0006773396162316203,9.218049049377441,-0.06607311964035034,-3.3571910858154297,0.0,0.0,28.13800621032715,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
GPS,51214626,0,,,,,,,,,,,,,,GPS,6.0,220512000.0,2412.0,10.0,1.21,-35.3632649,149.1652374,584.85,0.0,359.911865234375,0.0,0.0,1.0
IMU,51234626,0,0.0007537174387834966,0.0006930408999323845,0.0007304028840735555,9.217574119567871,-0.06432977318763733,-3.356215715408325,0.0,0.0,28.139129638671875,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51234626,1,0.0007646633894182742,0.0008057176019065082,0.0008239392191171646,9.216094017028809,-0.06502725929021835,-3.3560631275177,0.0,0.0,28.139129638671875,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51254626,0,0.000703250989317894,0.0007216160302050412,0.0007317448616959155,9.217618942260742,-0.06508971750736237,-3.356314182281494,0.0,0.0,28.1402530670166,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51254626,1,0.000857137143611908,0.0008194760303013027,0.0007727889460511506,9.216623306274414,-0.06453847885131836,-3.354949712753296,0.0,0.0,28.1402530670166,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51274626,0,0.000724326353520155,0.0007433533319272101,0.0007879508775658906,9.217401504516602,-0.06556524336338043,-3.355093479156494,0.0,0.0,28.141376495361328,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51274626,1,0.0007222078274935484,0.000781137146987021,0.0007533071911893785,9.218017578125,-0.06627462804317474,-3.356794595718384,0.0,0.0,28.141376495361328,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51294626,0,0.00072933838237077,0.0007499202038161457,0.0007407931261695921,9.2178316116333,-0.06475218385457993,-3.3547894954681396,0.0,0.0,28.142501831054688,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51294626,1,0.0006256624474190176,0.0005702113849110901,0.0006267798016779125,9.217382431030273,-0.06646548211574554,-3.3563499450683594,0.0,0.0,28.142501831054688,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51314626,0,0.0007382493349723518,0.0007122635142877698,0.0007489281706511974,9.21750545501709,-0.06556724011898041,-3.3565876483917236,0.0,0.0,28.143625259399414,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51314626,1,0.0007734758546575904,0.0006619427003897727,0.000820185465272516,9.214740753173828,-0.06487338244915009,-3.3557114601135254,0.0,0.0,28.143625259399414,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51334626,0,0.0007729384233243763,0.000781453971285373,0.0008125588065013289,9.216816902160645,-0.06481839716434479,-3.355985164642334,0.0,0.0,28.14474868774414,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51334626,1,0.0005882413825020194,0.0007370164967142045,0.0007630885229445994,9.216946601867676,-0.06632513552904129,-3.356929302215576,0.0,0.0,28.14474868774414,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51354626,0,0.000703122466802597,0.0007541254162788391,0.0007415043073706329,9.216422080993652,-0.06443014740943909,-3.3555760383605957,0.0,0.0,28.145872116088867,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51354626,1,0.0008133157971315086,0.000753703701775521,0.0007799224695190787,9.218591690063477,-0.06527599692344666,-3.3563473224639893,0.0,0.0,28.145872116088867,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51374626,0,0.0007389629608951509,0.0006775023648515344,0.0007352656102739275,9.215941429138184,-0.06475390493869781,-3.3371877670288086,0.0,0.0,28.146995544433594,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
IMU,51374626,1,0.000797236047219485,0.0008218965958803892,0.000767075049225241,9.218502044677734,-0.06456151604652405,-3.3263280391693115,0.0,0.0,28.146995544433594,1.0,1.0,760.0,799.0,IMU,,,,,,,,,,,,,
IMU,51394626,0,0.000747290498111397,0.0006104889907874167,0.0007476070895791054,9.217159271240234,-0.06506305932998657,-3.373434066772461,0.0,0.0,28.14811897277832,1.0,1.0,999.0,999.0,IMU,,,,,,,,,,,,,
